Level,Attachments (Image),Manufacturer (Image),Pending Changes (Image),Has Been Redlined (Image),Thumbnail,Sequence,Item Number,Item Description,Item Rev,Qty,Min Qty,Max Qty,Optional,Mut Excl,Ref Des,Item Footprint,BOM Notes,For Documentation,Child Action,Technology,Item Lifecycle,Subclass,BOM Description,REACH Compliance,RoHS Compliance,Encryption,REACH Up To Date,Moisture Sensitivity Level (MSL),Special Assembly Instructions,Single Source,Item P2 Notes,Operation Temperature,Manufacture Part Has Redline,Mfr. Name,Mfr Full Name,Mfr Priority Suffix,Mfr. Lifecycle Phase,Conflict Minerals Status,Mfr. Part Number,Mfr. Part Lifecycle Phase,Packaging Type,Preferred Status,Country of Origin (MP),Last Time Buy,Last Time Ship,Weight (Gram),REACH Up To Date.1,REACH Compliance.1,RoHS Compliance.1,Reference Notes
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,VENKEL,VENKEL LTD,,Approved,Yes by Manuf.,C0402X7R160-224KNP,Active,T&R 10K,,Taiwan,,,0.00134,,20.SVHC_223_17Jan2022,RoHS3 Compliant,
1,TRUE,TRUE,FALSE,FALSE,,0,ECC000067-NCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,MURATA,MURATA MANUFATURING CO LTD,,Approved,Yes by Product,GRM155R71H331KA01D,Active,Tape and Reel,,Japan,,,0.0016,,19.SVHC_219_08Jul2021,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,SAMSUNG,SAMSUNG ELECTRO MECHANICS CO LTD,,Approved,Not Conflict Free,CL05C331JB5NNNC,Active,T&R 10K,Preferred,Korea,,,0.001182,,22.SVHC_233_17Jan2023,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,YAGEO,YAGEO CORPORATION,,Approved,Yes by Product,CC0402KRNPO9BN331,Active,"10K / 7"" reel",Alternate,Taiwan,,,0.0,,23.SVHC_235_14Jun2023,RoHS3 Compliant,
1,TRUE,TRUE,FALSE,FALSE,,0,ECC000082-NCN,CAP-1n-0402-5%-NPO-50V,MCO006589,5,,,,,"C145,C151,C835,C1018,C1019",C0402,,,Issue,SMT,Pilot,Capacitor,,,,No,,‎1 – Unlimited,,,,-55°C to 125°C,False,KEMET,Kemet Corporation,,Approved,Yes by Product,C0402C102J5GACTU‎‏,Active,T&R  10K,Preferred,Taiwan,,,0.00143,,23.SVHC_235_14Jun2023,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,MURATA,MURATA MANUFATURING CO LTD,,Approved,Yes by Product,GRM1555C1H102JA01D,Active,T&R 10K,Preferred,Japan,,,0.0016,,24.SVHC_240_23Jan2024,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,YAGEO,YAGEO CORPORATION,,Approved,Yes by Product,CC0402JRNPO9BN102,Active,"10K / 7"" reel",Preferred,Taiwan,,,0.0,,23.SVHC_235_14Jun2023,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,DARFON,DARFON,,Approved,Yes by Product,C1005NPO102JGTS,Active,T/R 10K,Preferred,Taiwan,,,0.00132,,19.SVHC_219_08Jul2021,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,SAMSUNG,SAMSUNG ELECTRO MECHANICS CO LTD,,Approved,Not Conflict Free,CL05C102JB5NNNC,Active,T&R 10K,Preferred,Korea,,,0.001182,,22.SVHC_233_17Jan2023,RoHS3 Compliant,
1,TRUE,TRUE,FALSE,FALSE,,0,ECC000096-NCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,YAGEO,YAGEO CORPORATION,,Approved,Yes by Product,CC0402KRX7R9BB683,Active,T&R 10K,Preferred,Taiwan,,,0.0,,23.SVHC_235_14Jun2023,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,MURATA,MURATA MANUFATURING CO LTD,,Approved,Yes by Product,GRM155R71H683KE14D,Active,T&R 10K,Preferred,Japan,,,0.0016,,18.SVHC_211_19Jan2021,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,DARFON,DARFON,,Approved,Yes by Product,C1005X7R683KGTS,Active,T&R 10K,Preferred,Taiwan,,,0.00142,,19.SVHC_219_08Jul2021,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TRUE,TRUE,FALSE,FALSE,,0,ECC000102,CAP-47uF-1206-10%-X7R-25V,SPR003397,13,,,,,"C62,C140,C141,C142,C143,C395,C396,C397,C398,C399,C400,C401,C402",CAPC1206X07,,,Issue,SMT,Pilot,Capacitor,,,,No,,‎1 – Unlimited,,,"Do not use this part, please check ECC000163 or ECC000234.",-55°C to 85°C,False,CAPAX,CAPAX,,Approved,Yes by Manuf.,1206X476K250SNT,Active,T&R  4K,,,,,0.0,,24.SVHC_240_23Jan2024,RoHS3 Compliant,
1,TRUE,TRUE,FALSE,FALSE,,0,ECC000108-NCN,CAP-22nF-0402-10%-X7R-16V,MCO006580,2,,,,,"C914,C928",C0402,,,Issue,SMT,Pilot,Capacitor,,,,No,,‎1 – Unlimited,,,2221-0005,-55°C to 125°C,False,YAGEO,YAGEO CORPORATION,,Approved,Yes by Product,CC0402KRX7R9BB223,Active,10K Reel,,Taiwan,,,0.0014,,23.SVHC_235_14Jun2023,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,PANASONIC,Panasonic Industrial Company,,Approved,Yes by Product,ECJ-0EB1C223K,Inactive,,Inactive,,,,0.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,DARFON,DARFON,,Approved,Yes by Product,C1005X7R223KETS,Active,T/R 10K,Preferred,Taiwan,,,0.3,,19.SVHC_219_08Jul2021,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,KEMET,Kemet Corporation,,Approved,Yes by Product,C0402C223K3RACTU,Active,T&R 10K,,Taiwan,,,0.00143,,23.SVHC_235_14Jun2023,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,MURATA,MURATA MANUFATURING CO LTD,,Approved,Yes by Product,GRM155R71C223KA01D,Active,10K / Reel,,Japan,,,0.0016,,19.SVHC_219_08Jul2021,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TRUE,TRUE,FALSE,FALSE,,0,ECC000111-NCN,CAP-6n8-0402-10%-X7R-25V,MCO006654,2,,,,,"C152,C156",C0402,,,Issue,SMT,Pilot,Capacitor,,,,No,,‎1 – Unlimited,,,2221-0008,-55°C to 125°C,False,KEMET,Kemet Corporation,,Approved,Yes by Product,C0402C682K5RACAUTO,Active,T&R 10K,,Taiwan,,,0.00143,,23.SVHC_235_14Jun2023,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,PANASONIC,Panasonic Industrial Company,,Approved,Yes by Product,ECJ-OEB1E682K,Inactive,T&R,Inactive,,,,0.0008,12/01/2017 00:00:00 IST,12. SVHC_181_15Jan2018,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,MURATA,MURATA MANUFATURING CO LTD,,Approved,Yes by Product,GRM155R71E682KA01D,Active,T&R 10K,,Japan,,,0.0016,15/01/2018 00:00:00 IST,22.SVHC_233_17Jan2023,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,DARFON,DARFON,,Approved,Yes by Product,C1005X7R682KFTS,Active,T&R 10K,Preferred,Taiwan,,,0.00065,,19.SVHC_219_08Jul2021,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,SAMSUNG,SAMSUNG ELECTRO MECHANICS CO LTD,,Approved,Not Conflict Free,CL05B682KB5NNNC,Active,T&R 10K,,Korea,,,0.00155,15/01/2018 00:00:00 IST,22.SVHC_233_17Jan2023,RoHS3 Compliant,
1,TRUE,TRUE,FALSE,FALSE,,0,ECC000114-NCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,SAMSUNG,SAMSUNG ELECTRO MECHANICS CO LTD,,Approved,Not Conflict Free,CL05B104KA5NNNC,Active,T&R 10K,,Korea,,,0.00155,,22.SVHC_233_17Jan2023,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,KEMET,Kemet Corporation,,Approved,Yes by Product,C0402C104K3RACTU,Active,T&R 10K,,Taiwan,,,0.00143,,23.SVHC_235_14Jun2023,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,YAGEO,YAGEO CORPORATION,,Approved,Yes by Product,CC0402KRX7R8BB104,Active,T&R 10K,,Taiwan,,,0.0014,15/01/2018 00:00:00 IST,23.SVHC_235_14Jun2023,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,DARFON,DARFON,,Approved,Yes by Product,C1005X7R104KFTS,Active,T&R 10K,Preferred,Taiwan,,,0.00065,,23.SVHC_235_14Jun2023,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TRUE,TRUE,FALSE,FALSE,,0,ECC000125-NCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,MURATA,MURATA MANUFATURING CO LTD,,Approved,Yes by Product,GCM1555C1H241JA16D,Active,T&R 10K,,Japan,,,0.0016,,18.SVHC_211_19Jan2021,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,SAMSUNG,SAMSUNG ELECTRO MECHANICS CO LTD,,Approved,Not Conflict Free,CL05C241JB5NNNC,EOL,T&R 10K,,Korea,,,0.001181,,17.SVHC_209_25Jun20,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,VENKEL,VENKEL LTD,,Approved,Yes by Manuf.,C0402C0G500-241JNP,Active,T&R 10K,,Taiwan,,,0.001216,,20.SVHC_223_17Jan2022,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,KEMET,Kemet Corporation,,Approved,Yes by Product,C0402C241J5GAC7867,Active,T&R 10K,,Taiwan,,,0.00143,,23.SVHC_235_14Jun2023,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TRUE,TRUE,FALSE,FALSE,,0,ECC000153-NCN,Cap-56nF-0402-10%-X7R-16V,SPR001484,6,,,,,"C434,C436,C438,C440,C453,C456",C0402,,,Issue,SMT,Pilot,Capacitor,,,,No,,‎1 – Unlimited,,,SPR001484,-55°C to 125°C,False,SAMSUNG,SAMSUNG ELECTRO MECHANICS CO LTD,,Approved,Not Conflict Free,CL05B563KO5NNNC,EOL,T&R 10K,,Korea,30/11/2020,30/06/2021,0.00155,,17.SVHC_209_25Jun20,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,KEMET,Kemet Corporation,,Approved,Yes by Product,C0402C563K4RACTU,Active,T&R 10K,,Taiwan,,,0.00143,,23.SVHC_235_14Jun2023,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,YAGEO,YAGEO CORPORATION,,Approved,Yes by Product,CC0402KRX7R7BB563,Active,T&R 10K,,Taiwan,,,0.0014,,23.SVHC_235_14Jun2023,RoHS3 Compliant,
1,TRUE,TRUE,FALSE,FALSE,,0,ECC000163-NCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,MURATA,MURATA MANUFATURING CO LTD,,Approved,Yes by Product,GRM32EC81C476ME15L,Active,,Preferred,Japan,,,0.11,,24.SVHC_240_23Jan2024,RoHS3 Compliant,
1,TRUE,TRUE,FALSE,FALSE,,0,ECC000168-NCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,YAGEO,YAGEO CORPORATION,,Approved,Yes by Product,CC0402KRX6S8BB105,Active,T&R 10K,Preferred,Taiwan,,,0.0014,,23.SVHC_235_14Jun2023,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,DARFON,DARFON,,Approved,Yes by Product,C1005X6S105KFTS,Active,T/R 10K,Preferred,Taiwan,,,0.0036,,19.SVHC_219_08Jul2021,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,MURATA,MURATA MANUFATURING CO LTD,,Approved,Yes by Product,GRM155C81E105KE11D,Active,T&R  10K,Preferred,Japan,,,0.0,,22.SVHC_233_17Jan2023,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TRUE,TRUE,FALSE,FALSE,,0,ECC000170-NCN,CAP-4.7uF-0402-20%-X6S-6.3V,MCO006889,73,,,,,"C1,C36,C37,C38,C68,C69,C70,C71,C81,C82,C83,C84,C85,C257,C261,C333,C559,C560,C561,C562,C563,C564,C565,C566,C759,C760,C761,C762,C763,C764,C765,C766,C767,C768,C769,C770,C771,C772,C773,C774,C775,C776,C777,C778,C779,C780,C781,C782,C783,C784,C785,C786,C787,C788,C789,C790,C791,C792,C793,C794,C795,C796,C797,C798,C799,C800,C801,C802,C803,C804,C805,C806,C940",C0402,,,Issue,SMT,Pilot,Capacitor,,,,No,,‎1 – Unlimited,,NO,,-55°C to 105°C,False,DARFON,DARFON,,Approved,Yes by Product,C1005X6S475MCTS,Active,T/R 10K,Preferred,Taiwan,,,0.0036,,19.SVHC_219_08Jul2021,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,YAGEO,YAGEO CORPORATION,,Approved,Yes by Product,CC0402MRX6S5BB475,Active,T&R 10K,Preferred,Taiwan,,,0.0,,23.SVHC_235_14Jun2023,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,MURATA,MURATA MANUFATURING CO LTD,,Approved,Yes by Product,GRM155C80J475MEAAD,Active,T&R  10K,Preferred,Japan,,,0.0025,,22.SVHC_233_17Jan2023,RoHS3 Compliant,
1,TRUE,TRUE,FALSE,FALSE,,0,ECC000177-NCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,MURATA,MURATA MANUFATURING CO LTD,,Approved,Yes by Product,GRM31CC81E226KE11L,Active,T&R 2k,Preferred,Japan,,,0.064,,24.SVHC_240_23Jan2024,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,SAMSUNG,SAMSUNG ELECTRO MECHANICS CO LTD,,Approved,Not Conflict Free,CL31X226KAHNF3E,Active,T&R 2k,Preferred,Korea,,,0.0,,22.SVHC_233_17Jan2023,,
1,TRUE,TRUE,FALSE,FALSE,,0,ECC000180-NCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,SAMSUNG,SAMSUNG ELECTRO MECHANICS CO LTD,,Approved,Not Conflict Free,CL05X106MQ5NUNC,Active,T&R  20K,Preferred,Korea,,,0.0,,22.SVHC_233_17Jan2023,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,DARFON,DARFON,,Approved,Yes by Product,C1005X6S106MCTS,Active,T/R 10K,Preferred,Taiwan,,,0.0036,,19.SVHC_219_08Jul2021,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,MURATA,MURATA MANUFATURING CO LTD,,Approved,Yes by Product,GRM155C80J106ME11J,Active,T&R  40K,Preferred,Japan,,,0.0031,,17.SVHC_209_25Jun20,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,YAGEO,YAGEO CORPORATION,,Approved,Yes by Product,CC0402MRX6S5BB106,Active,T&R  10K,Preferred,Taiwan,,,0.0,,23.SVHC_235_14Jun2023,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,MURATA,MURATA MANUFATURING CO LTD,,Approved,Yes by Product,GRM155C80J106ME11D,Active,T&R  10K,Preferred,Japan,,,0.0031,,22.SVHC_233_17Jan2023,RoHS3 Compliant,
1,TRUE,TRUE,FALSE,FALSE,,0,ECC000186-NCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,YAGEO,YAGEO CORPORATION,,Approved,Yes by Product,CC0402KRX7R9BB101,Active,T&R 10K,Preferred,Taiwan,,,0.0014,,23.SVHC_235_14Jun2023,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,KEMET,Kemet Corporation,,Approved,Yes by Product,C0402C101K5RACTU,Active,T&R 10K,Preferred,Taiwan,,,0.00143,,23.SVHC_235_14Jun2023,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,MURATA,MURATA MANUFATURING CO LTD,,Approved,Yes by Product,GRM155R71H101KE14D,Inactive,T&R 10K,Preferred,Japan,,,0.0016,,15. SVHC_201_21Jul19,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,SAMSUNG,SAMSUNG ELECTRO MECHANICS CO LTD,,Approved,Not Conflict Free,CL05B101KB5NNNC,Active,T&R 10K,Preferred,Korea,,,0.00155,,22.SVHC_233_17Jan2023,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,DARFON,DARFON,,Approved,Yes by Product,C1005X7R101KGTS,Active,T&R 10K,Preferred,Taiwan,,,0.00142,,19.SVHC_219_08Jul2021,RoHS3 Compliant,
1,TRUE,TRUE,FALSE,FALSE,,0,ECC000194-NCN,Cap-100u-0805-20%-X6S-4V,MCO006587,50,,,,,"C165,C166,C167,C187,C188,C189,C190,C191,C192,C193,C194,C195,C219,C220,C221,C222,C223,C224,C225,C226,C227,C239,C240,C241,C242,C243,C244,C245,C246,C247,C259,C272,C273,C274,C275,C276,C277,C278,C279,C280,C287,C288,C289,C290,C291,C292,C293,C294,C295,C296",CAPC0805X06,,,Issue,SMT,Pilot,Capacitor,,,,No,,‎1 – Unlimited,,NO,,-55°C to 105°C,False,MURATA,MURATA MANUFATURING CO LTD,,Approved,Yes by Product,GRM21BC80G107ME15L,Active,T&R 3K,Preferred,Japan,,,0.023,,24.SVHC_240_23Jan2024,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,DARFON,DARFON,,Approved,Yes by Product,C2012X6S107MBTS,Active,T/R 3K,Preferred,Taiwan,,,0.0182,,19.SVHC_219_08Jul2021,RoHS3 Compliant,
1,TRUE,TRUE,FALSE,FALSE,,0,ECC000195-NCN,CAP-47uF-0603-20%-X6S-2.5V,MCO006953,49,,,,,"C161,C162,C163,C164,C176,C177,C178,C179,C180,C181,C182,C183,C184,C201,C202,C203,C204,C205,C206,C207,C208,C209,C228,C229,C230,C231,C232,C233,C234,C235,C236,C248,C249,C250,C251,C252,C253,C254,C255,C256,C263,C264,C265,C266,C267,C268,C269,C270,C271",C0603,,,Issue,SMT,Pilot,Capacitor,,,,No,,‎1 – Unlimited,,NO,,-55°C to 105°C,False,SAMSUNG,SAMSUNG ELECTRO MECHANICS CO LTD,,Approved,Not Conflict Free,CL10X476MS8NRWC,Active,T&R 4K,Preferred,Korea,,,0.0059,,22.SVHC_233_17Jan2023,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,MURATA,MURATA MANUFATURING CO LTD,,Approved,Yes by Product,GRM188C80E476ME05D,Active,T&R 4K,Preferred,Japan,,,0.0091,,22.SVHC_233_17Jan2023,RoHS3 Compliant,
1,TRUE,TRUE,FALSE,FALSE,,0,ECC000204-NCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,THUNDER,THUNDER,,Approved,Yes by Manuf.,1206S107M6R3CT,Active,T&R 2K,,,,,0.043,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,CALCHIP,"Cal-Chip Electronics, Incorporat",,Approved,Yes by Manuf.,GMC31X6S107M6R3NT,Active,T&R  4K,,Japan,,,0.0,,,RoHS3 Compliant,
1,TRUE,TRUE,FALSE,FALSE,,0,ECC000212-NCN,Cap-1u-0402-10%-X6S-25V,MCO007284,410,,,,,"C7,C39,C54,C64,C65,C66,C67,C72,C73,C74,C75,C76,C93,C94,C95,C96,C98,C99,C100,C101,C117,C123,C124,C125,C126,C127,C128,C129,C130,C131,C132,C133,C139,C158,C159,C160,C171,C200,C258,C282,C300,C308,C363,C385,C386,C389,C390,C391,C392,C415,C416,C417,C418,C939,C990,C1011,C1020,C1021,C1022,C1023,C1024,C1025,C1026,C1027,C1033,C1034,C1035,C1036,C1037,C1038,C1040,C1043,C1049,C1050,C1055,C1056,C1059,C1060,C1063,C1064,C1065,C1066,C1067,C1068,C1071,C1072,C1074,C1075,C1077,C1078,C1079,C1082,C1083,C1084,C1085,C1086,C1087,C1088,C1090,C1093,C1094,C1097,C1100,C1101,C1104,C1105,C1107,C1108,C1109,C1110,C1111,C1112,C1113,C1114,C1115,C1117,C1118,C1119,C1122,C1123,C1124,C1125,C1134,C1135,C1137,C1138,C1142,C1145,C1170,C1174,C1175,C1176,C1177,C1185,C1186,C1187,C1201,C1202,C1203,C1207,C1208,C1209,C1213,C1214,C1215,C1216,C1223,C1224,C1225,C1226,C1234,C1235,C1236,C1240,C1241,C1242,C1250,C1251,C1254,C1255,C1262,C1263,C1266,C1267,C1276,C1278,C1279,C1281,C1282,C1283,C1284,C1301,C1302,C1304,C1305,C1306,C1310,C1311,C1314,C1315,C1322,C1323,C1326,C1327,C1328,C1345,C1346,C1347,C1348,C1349,C1354,C1355,C1357,C1358,C1364,C1365,C1371,C1372,C1373,C1377,C1388,C1389,C1390,C1391,C1397,C1398,C1399,C1400,C1401,C1404,C1406,C1407,C1413,C1416,C1422,C1423,C1427,C1428,C1429,C1430,C1431,C1434,C1435,C1436,C1437,C1438,C1442,C1443,C1444,C1446,C1447,C1448,C1449,C1450,C1453,C1454,C1455,C1456,C1458,C1459,C1462,C1463,C1464,C1465,C1466,C1467,C1468,C1470,C1471,C1472,C1473,C1474,C1475,C1476,C1477,C1478,C1479,C1480,C1482,C1483,C1484,C1488,C1489,C1497,C1498,C1501,C1502,C1503,C1504,C1505,C1507,C1508,C1509,C1510,C1511,C1512,C1513,C1514,C1515,C1516,C1517,C1518,C1519,C1520,C1522,C1525,C1526,C1528,C1529,C1530,C1531,C1532,C1533,C1534,C1535,C1536,C1537,C1538,C1540,C1541,C1542,C1543,C1545,C1546,C1547,C1549,C1551,C1554,C1556,C1558,C1559,C1560,C1561,C1563,C1564,C1566,C1569,C1571,C1573,C1574,C1575,C1577,C1579,C1581,C1584,C1585,C1587,C1588,C1592,C1593,C1596,C1602,C1604,C1605,C1606,C1608,C1609,C1610,C1611,C1612,C1614,C1615,C1617,C1618,C1619,C1620,C1621,C1622,C1623,C1624,C1625,C1626,C1631,C1632,C1633,C1634,C1635,C1636,C1637,C1638,C1639,C1640,C1641,C1642,C1643,C1644,C1645,C1646,C1647,C1648,C1649,C1650,C1651,C1652,C1653,C1654,C1655,C1656,C1657,C1658,C1659,C1660,C1661,C1662,C1663,C1664,C1665,C1666,C1667,C1668,C1669,C1670,C1671,C1672,C1673,C1674,C1918,C1920,C1923,C1925,C1928,C1929,C1930,C1931,C1932,C1933,C1936,C1938,C1941,C1943",C0402,,,Issue,SMT,Pilot,Capacitor,,,,No,,‎1 – Unlimited,,NO,,-55°C to 105°C,False,SAMSUNG,SAMSUNG ELECTRO MECHANICS CO LTD,,Approved,Not Conflict Free,CL05X105KA5NQNC,Active,T&R 10K,,Korea,,,0.0,,24.SVHC_240_23Jan2024,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,YAGEO,YAGEO CORPORATION,,Approved,Yes by Product,CC0402KRX6S8BB105,Active,T&R 10K,,Taiwan,,,0.0014,,23.SVHC_235_14Jun2023,RoHS3 Compliant,
